file,status,reason,word_count,alpha_ratio,symbol_ratio,digit_ratio,unique_token_ratio,repeat_token_ratio,avg_token_len,strict_lang,preview
data\whisper_transcriptions\6th Sense - Do What It Do Instrumental     {6th Sense} 11784.txt,dropped,boilerplate_or_non_lyrics,4,0.8261,0.0435,0.0,1.0,0.25,4.75,unknown,Welcome to the podcast.
data\whisper_transcriptions\6th Sense - Entourage (Oh Yeah!) Instrumental     {6th Sense} 11779.txt,dropped,boilerplate_or_non_lyrics,9,0.7708,0.0625,0.0,1.0,0.1111,4.2222,unknown,"Welcome to the podcast, and we'll be right back."
data\whisper_transcriptions\6th Sense - Fallen Shadows Instrumental     {Viva La Hova} 11769.txt,dropped,boilerplate_or_non_lyrics,4,0.8261,0.0435,0.0,1.0,0.25,4.75,unknown,Welcome to the podcast.
"data\whisper_transcriptions\6th Sense - Hippie Robot Instrumental     {6th Sense, Wildabeast, Jelani, Scheme} 11774.txt",kept,,8,0.7447,0.1064,0.0,1.0,0.125,4.625,unknown,Let's dream we're allди listening to an alkuda'
"data\whisper_transcriptions\6th Sense - Hippie Robot Instrumental     {6th Sense, Wildabeast, Jelani, Scheme} _11774_.txt",dropped,too_short(<6_words),4,0.85,0.0,0.0,1.0,0.25,4.25,unknown,Ye EasyUu Howcra you
data\whisper_transcriptions\6th Sense - I Won't Let You Fall Instrumental     {6th Sense} 11792.txt,dropped,low_token_diversity,21,0.6733,0.1089,0.0,0.2857,0.2381,3.2381,unknown,"Oh, oh, yeah, I won't let you fall, let you fall, let you fall Oh, oh, oh, yeah, I won't let you fall"
data\whisper_transcriptions\6th Sense - Ignite The People (Like Obama) Instrumental     {6th Sense} 11772.txt,kept,,14,0.7865,0.0225,0.0,0.5714,0.1429,4.7143,unknown,"I know I could ignite the people like Obama, I wish I could ignite the people like Obama,"
data\whisper_transcriptions\6th Sense - Just Fine Instrumental     {Wildabeast} 11765.txt,dropped,boilerplate_or_non_lyrics,4,0.8261,0.0435,0.0,1.0,0.25,4.75,unknown,Welcome to the podcast.
data\whisper_transcriptions\6th Sense - Let's Do It Instrumental     {6th Sense} 11767.txt,dropped,too_short(<6_words),4,0.75,0.1,0.0,1.0,0.25,4.0,unknown,We'll be right back.
data\whisper_transcriptions\6th Sense - Let's Do It Instrumental     {6th Sense} _11767_.txt,dropped,low_token_diversity,31,0.7831,0.0361,0.0,0.2581,0.2258,4.1935,unknown,"Bouncin' you whip with that real life shit Bouncin' you whip with that real life shit Real life, real, real, real life shit Bouncin' you whip with that real life shit"
data\whisper_transcriptions\6th Sense - Never Change For The Fame Instrumental     {Wildabeast} 11777.txt,dropped,boilerplate_or_non_lyrics,4,0.8261,0.0435,0.0,1.0,0.25,4.75,unknown,Welcome to the podcast.
"data\whisper_transcriptions\6th Sense - Press Play Instrumental     {6th Sense, A Pinks, Emilio Rojas, Skyzoo} 11763.txt",dropped,boilerplate_or_non_lyrics,4,0.8261,0.0435,0.0,1.0,0.25,4.75,unknown,Welcome to the podcast.
data\whisper_transcriptions\6th Sense - Stakes Is High Instrumental     {U-N-I} 11795.txt,dropped,too_short(<6_words),4,0.75,0.0625,0.0,0.75,0.5,3.0,unknown,so so Thank you.
data\whisper_transcriptions\6th Sense - The Itis Instrumental     {Black ELement} 11768.txt,dropped,boilerplate_or_non_lyrics,9,0.7708,0.0625,0.0,1.0,0.1111,4.2222,unknown,"Welcome to the podcast, and we'll be right back."
"data\whisper_transcriptions\6th Sense - The Proposal Instrumental     {Jelani, 6th Sense, Wildabeast} 11776.txt",dropped,too_short(<6_words),5,0.8,0.04,0.0,0.8,0.4,4.0,unknown,Alright guys組 Who You You
data\whisper_transcriptions\6th Sense - We Don't Stop Instrumental     {6th Sense} 11775.txt,dropped,low_token_diversity,23,0.6893,0.0971,0.0,0.3478,0.1739,3.2609,unknown,"We don't stop, we don't stop, no one We don't stop, no one We don't stop, no one Oh yeah Oh yeahおい torn"
data\whisper_transcriptions\6th Sense - What Kinda Instrumental     {Both Nice} 11780.txt,dropped,boilerplate_or_non_lyrics,4,0.8261,0.0435,0.0,1.0,0.25,4.75,unknown,Welcome to the podcast.
data\whisper_transcriptions\9th Scientist - I Love Hip Hop 14386.txt,kept,,59,0.674,0.0801,0.0442,0.5085,0.1017,3.9492,unknown,"I'm just a leader never a follower Yo, yo, yo, yo I just heard it I love life I love hip hop And it don't stop A-1-2-1-2 And it's lyrics touch his soul I love life I love hip hop And it don't stop A-1-2-1-2 And it don't stop A-1-2-1-2 And it don't st"
data\whisper_transcriptions\A Crooked Pulse - Dark Spots 113511.txt,kept,,12,0.7656,0.0469,0.0,1.0,0.0833,4.0,unknown,"You should keep your distance from me, I said, no place to play."
data\whisper_transcriptions\A Crooked Pulse - Distorted Course 113513.txt,kept,,21,0.7477,0.0561,0.0,0.8095,0.1429,3.7619,unknown,"Oh, I lack color, my pale face follows the day. What will you say, and will you believe? What do you think?"
data\whisper_transcriptions\A Crooked Pulse - Once the Sky 113512.txt,kept,,70,0.7979,0.0052,0.0,0.8571,0.0571,4.2429,unknown,"I was crying out, but I never thought this would help An ocean of leaves as I drown as I breathe The skin of these trees holds no oxygen Like medium waves talking to the island Seek me tasting what that would be for now My arms keeps the sky as I'm a"
data\whisper_transcriptions\A Crooked Pulse - Once the Sky _113512_.txt,kept,,57,0.7806,0.0161,0.0,0.8421,0.0526,4.1228,unknown,"I was crying and now I never thought this would end No sheriff believes this, I tell as I breathe The skin of these trees holds no oxygen Like a million words on the island See what they mean, they sleep with that green deep prayer An arms east of sk"
data\whisper_transcriptions\A la Mode - Mountaintop 129391.txt,kept,,36,0.8105,0.0053,0.0,0.8889,0.0833,4.3056,unknown,One walk away and realizing that you never knew them anyway Now you're more alone than you were before They never come through your door So you climb back to that place Surrounded by the sky
data\whisper_transcriptions\A la Mode - New Leaves 129393.txt,kept,,39,0.8137,0.0,0.0,0.7692,0.1026,4.2564,unknown,Let dead fruit fall from the tree Brought on the ground amongst the bugs and leaves It will turn to fertile soil for fresh life Sprouting new stories before our very eyes Let dead fruit fall from the tree
data\whisper_transcriptions\A la Mode - To The Wind 129392.txt,kept,,39,0.8157,0.0046,0.0,0.8205,0.1282,4.5385,unknown,Standing strong in December Cradling snow through the winter And shaking cones when you shiver But I just wanna take you home Spruce you up with silver bows Show you off to everyone And toss you when the season's done
data\whisper_transcriptions\A Smile for Timbuctu - Il Circo Smorfioso 29741.txt,dropped,too_short(<6_words),4,0.8,0.05,0.0,1.0,0.25,4.0,unknown,Welcome to the show.
data\whisper_transcriptions\A Way - Around Under 38362.txt,kept,,11,0.7612,0.0896,0.0,1.0,0.0909,4.6364,unknown,meisten st��ッ youbout sportリア possess aest just amb love Thank you.
data\whisper_transcriptions\A-Grav Lab - Creation 146147.txt,kept,,118,0.8006,0.0127,0.0,0.6525,0.1017,4.322,unknown,Creation is the purpose of life But human beings think that what we do for others is right We're not seeing with the vision that it takes to enlighten So we'll be fleeing from the earth by the end of the night Disagreeing with the way we lived and th
data\whisper_transcriptions\A-Grav Lab - How I Feel 146151.txt,kept,,75,0.7991,0.0213,0.0,0.7733,0.04,4.5333,unknown,"Out of time or nothing left to stay, so meditate on that for a moment and while you're pondering We show that we destroy egos and overconfidence To attain accomplishments comes easily, but there's no greed in me Just wanna excel throughout repeatedly"
data\whisper_transcriptions\A-Grav Lab - How I Feel _146151_.txt,kept,,75,0.8042,0.0212,0.0,0.7467,0.08,4.5733,unknown,"Out of time, we're nothing left to stay so meditate on that for a moment and while you're pondering We show that we can show our egos and overconfidence To attain accomplishments comes easily, but there's no greed in me Just wanna excel, do well repe"
data\whisper_transcriptions\A-Grav Lab - Intro 146148.txt,kept,,44,0.7435,0.0609,0.0,0.7045,0.0909,3.9545,unknown,"That's the beauty of music, right? I can't get that from you. Haven't you ever felt that way about music? Lost interest in it, though. Makes much sense in it. Here's the way it makes the most sense. I need it so you don't want to."
data\whisper_transcriptions\A-Grav Lab - Spacewalkers 146149.txt,kept,,77,0.8017,0.0253,0.0,0.6234,0.1039,4.8571,unknown,"Through my experience, space is mysterious and magical Cape Canaveral, can't dock my celestial vessel But natural, beauty of life can be discovered where I'm stationed Preoccupied with Martian life and halting space invasions Blazing through atmosphe"
data\whisper_transcriptions\A-Grav Lab - The Cross 146152.txt,kept,,106,0.7638,0.0089,0.0036,0.6321,0.066,3.8962,unknown,I took off my necklace and I placed it on my desk by a book I didn't look to pay attention to survey the scene Cause putting it on and taking it off was just a daily routine Since I was 13 I rocked a cross on the chest It made me feel like I was spec
data\whisper_transcriptions\A-Grav Lab - Torture Device 146153.txt,kept,,100,0.7767,0.0188,0.0,0.75,0.07,4.04,unknown,"I said, I'm a small man I'm a small man If you wanna pay You been warned Now I gotta go for my rec I'm bout to chop your arm off and staple it to your neck Then send you running home to tell your boys About the man who destroys And the skill he emplo"
data\whisper_transcriptions\A-Grav Lab - U and I 146150.txt,kept,,101,0.7993,0.0125,0.0,0.7822,0.0594,4.3465,unknown,"Yo, I could kiss like Kathie Lee after she found that break was cheating Plain to see when you show your true colors I'd hate to be in your position Where no one listens But once you notice this It's over with I go to spit On your tombstone when time"
data\whisper_transcriptions\A-Grav Lab - U and I _146150_.txt,kept,,97,0.8069,0.0038,0.0,0.7732,0.0412,4.3196,unknown,The Wacky Gets Like Kathy Lee After She Found That Break With She In Plain To See When You Show Your True Colors I Hate To Be In Your Position Where No One Listens But Once You Notice This It's Over With Like Lotus Fit On Your Tombstone When Time Pas
data\whisper_transcriptions\A-Rec - Obituary Of A Sell Out MC (Featuring D-Fine) 49478.txt,kept,,95,0.7539,0.043,0.0,0.5579,0.0842,3.9789,unknown,"Things got fucked up and friendships got shook Maybe, that's just the way the world works Or maybe, I've been a fucking jerk With all this work yo, I've lost the plan But whatever happens man, is still fam Yeah Yo man, man, man, man Yo change the bea"
"data\whisper_transcriptions\A. P. Vague - Mining the Acoustics in the Empty Room at Anne Frank Studios in Piladelphia, PA (Paris mix) 68872.txt",kept,,13,0.7727,0.0455,0.0,0.7692,0.2308,3.9231,unknown,The Cardinals were to go to the хeddars. Do theoned Atlas. The End
"data\whisper_transcriptions\Aaron DeVries - Bring a Torch, Jeanette, Isabella 74389.txt",kept,,22,0.7946,0.0179,0.0,0.8636,0.0909,4.0455,unknown,"Beautiful is her song Hasten now, good folk of the village Hasten now, the Christ child to see You will find him"
"data\whisper_transcriptions\Abdu Ali - I, Exist 149626.txt",dropped,tokens_too_short_gibberish,7,0.7407,0.037,0.0,1.0,0.1429,2.8571,unknown,at Look how he is doing. Oh
data\whisper_transcriptions\Abdu Ali - Keep Moving (Negro Kai) 149625.txt,kept,,40,0.7604,0.0369,0.0,0.825,0.075,4.025,unknown,"Yo, she said, baby, you gotta believe Yo, and I, and I believe Yes, I feel so good Damn, how dare I have the identity The feels so fucking right The vanity is where I wanna be These chains are so heavy They don't mean"
data\whisper_transcriptions\Acherontia - Human 107805.txt,dropped,too_repetitive,6,0.7241,0.1034,0.0,0.5,0.5,3.5,unknown,"No nature, no, yes, no nature"
data\whisper_transcriptions\Aching Beauty - Steps 75230.txt,dropped,too_short(<6_words),4,0.7368,0.1053,0.0,1.0,0.25,3.25,unknown,I'll be right back.
data\whisper_transcriptions\Action Davis - Bee Mine 64989.txt,kept,,7,0.7714,0.0286,0.0,0.8571,0.2857,3.7143,unknown,"I wish that you could be mine, mine"
data\whisper_transcriptions\Action Davis - Class Act 64990.txt,dropped,too_short(<6_words),4,0.75,0.1,0.0,1.0,0.25,4.0,unknown,We'll be right back.
data\whisper_transcriptions\Action Davis - Class Act _64990_.txt,kept,,18,0.7257,0.0973,0.0,0.9444,0.1111,4.5,unknown,"humor gavve gaaᵎ bout gaaacTa əaaᵎ cią daeᴖ kgaa aa ɴa�唉 quelque daa aaa snapshot Potter Genesis, そ こ Vali scheme"
data\whisper_transcriptions\Action Davis - Japanese 64993.txt,dropped,too_short(<6_words),4,0.75,0.1,0.0,1.0,0.25,4.0,unknown,We'll be right back.
data\whisper_transcriptions\Action Davis - Lights - And Counting (Action Davis Remix) 64992.txt,kept,,15,0.7045,0.0455,0.0455,0.9333,0.1333,3.9333,unknown,"40 days and counting, I'm going to sleep when I wake up, there may be 39 more days left,"
data\whisper_transcriptions\Action Davis - NYC 64991.txt,dropped,boilerplate_or_non_lyrics,9,0.7708,0.0625,0.0,1.0,0.1111,4.2222,unknown,"Welcome to the podcast, and we'll be right back."
data\whisper_transcriptions\Action Will Be Taken - Fix yourself 112528.txt,kept,,18,0.8252,0.0559,0.0,0.7778,0.1111,6.5556,unknown,"Love when you fail, fooling yourself, create your own thrills Everything, failure, conviction, success Everything, failure, conviction, success"
data\whisper_transcriptions\Action Will Be Taken - Remix 1 112529.txt,kept,,19,0.7481,0.0382,0.0,1.0,0.0526,4.8947,unknown,No a D ! Dude ! Everywhere I turn mind another perfect example ! P MILLER WOULD IT ? EVEN WHERE I HURT UNDER THE WORLD TO REFLACE !
data\whisper_transcriptions\Action Will Be Taken - Time bomb 112526.txt,kept,,81,0.7801,0.0324,0.0,0.8148,0.0494,4.2099,unknown,"All the theories are the worst Time out, taking past the bombs, throwing off Popping in age that we define, the finest of wine Giant of those of Asia is just why Life is not like John Arena, time results in reality Family values and ways of time And "
data\whisper_transcriptions\Action Will Be Taken - While you're waiting for the revolution 112527.txt,kept,,71,0.785,0.035,0.0,0.7324,0.0563,4.5211,unknown,"That's not too long, you follow, start the riot for you When you're sitting there, playing on the internet Talking to a punk about abolishing the government Don't forget to tell him That you're full of shit You're always talking about Starting up a p"
data\whisper_transcriptions\AG Davis - Jazz Got Fuck'd 133294.txt,dropped,too_short(<6_words),5,0.7931,0.0345,0.0,1.0,0.2,4.4,unknown,This is a production of WGBH.
data\whisper_transcriptions\Aglow Hollow - Bob Burns Down 146639.txt,kept,,17,0.8316,0.0,0.0,0.6471,0.1176,4.6471,unknown,To the road that splits the light Bail into darkness or dopamine Bail into darkness or dopamine
data\whisper_transcriptions\Airships - Island Grows 21404.txt,kept,,58,0.7659,0.0334,0.0,0.5172,0.1379,3.9483,unknown,"In the sea, we're lined as deep with me In the deep where it goes to see things Where it finds, here green things sleeping When the wakes, it goes, dream, dream, dream Shine a light from the sky and the heavens In the sea, we're lined as deep Shine a"
data\whisper_transcriptions\Airships - Island Grows _21404_.txt,kept,,65,0.7685,0.0193,0.0,0.5077,0.1231,3.6615,unknown,"In the sea, we lie down, stealing all the things In the deep where it goes to see things We refine to hear green things sleeping When the wake's sick, all the stream feeds on me Should you lie in front of the sky and I will see In the sea, we lie dow"
"data\whisper_transcriptions\Ak'chamel, The Giver of Illness - Slalom (Ennio Morricone) 81189.txt",dropped,too_short(<6_words),4,0.75,0.1,0.0,1.0,0.25,4.0,unknown,We'll be right back.
data\whisper_transcriptions\Akathasquid - fuckthatpimptalking 43857.txt,kept,,41,0.7522,0.0348,0.0043,0.8049,0.0732,4.0976,unknown,"I can always take turns into the Zachariang Tata , Tata Karen shirt Alexa , Twinn Episode 4 Friends Can you give her the power of my clothes product Matter as I AM Nod Pokiência 있는 As I AM And H另外 One As i AM To educate Thank you."
data\whisper_transcriptions\Akathasquid - ididntknow 43868.txt,dropped,too_short(<6_words),4,0.75,0.1,0.0,1.0,0.25,4.0,unknown,We'll be right back.
data\whisper_transcriptions\Akathasquid - loosemarbles 43861.txt,dropped,too_short(<6_words),4,0.7941,0.1176,0.0,0.75,0.5,6.75,unknown,"Thanks, Lexington. Cheers. Cheers."
data\whisper_transcriptions\Akpatok - Tree and Wind 135091.txt,dropped,too_short(<6_words),4,0.8333,0.0417,0.0,1.0,0.25,5.0,unknown,Thank you for listening.
data\whisper_transcriptions\Akpatok - You Washed Your Face in a Mountain Stream 135089.txt,dropped,too_short(<6_words),4,0.8333,0.0417,0.0,1.0,0.25,5.0,unknown,Thank you for listening.
data\whisper_transcriptions\Alaclair Ensemble - Colibris _55097_.txt,kept,,16,0.7477,0.0748,0.0,1.0,0.0625,4.9375,unknown,"般 espause YoussUro, dotamsspats, mta� chea gas, su� blending Feels and perd Allez � unnie � zip xje centi w"
data\whisper_transcriptions\Alaclair Ensemble - DillA Remix 61161.txt,kept,,104,0.7419,0.0781,0.0,0.6731,0.0769,4.2115,unknown,"Sunday building, eat your coffee, food, sacro, marco, remarkable, also no heart for you. Baby, she addict. She's just the mathematics. She's chromatic. No tons, I'm not nostalgic. Parts magic. Tell them what might be. That's right. What's going on? I"
data\whisper_transcriptions\Alaclair Ensemble - Domino's 61160.txt,kept,,114,0.7416,0.0574,0.0051,0.6754,0.0614,3.7193,unknown,"Yo, confession vers la bombe, tu bosses yo par la bande Smoke ta bombe avec un news blake à Samarkand Si tu mentes, t'as les clés de la pure, la somme attente Pour fuck around à Saint-Martin au code, ça vous tente Ça vous vente dans ce sud-tu vente d"
data\whisper_transcriptions\Alaclair Ensemble - Drive Thru 61159.txt,kept,,41,0.729,0.0748,0.0,0.7073,0.1463,3.8049,unknown,"This is America, this is the shit right now, this is that big state you want to do. Is that freedom, Lord? I don't know, I don't care. This is heavy, dido, dido, swag. This is great, fly. My goalie sends some food."
data\whisper_transcriptions\Alaclair Ensemble - KEnLO's WorKouT 61172.txt,kept,,102,0.7372,0.0643,0.0019,0.6863,0.098,3.6275,unknown,"Made in clouds C'est comme rock man j'ai même pas de baos J'ai fait 5 minutes, vite au go-round Mais le putain est un peu de spouse Parle à tes coupées c'est pas un jus de pomme Prends le biscom, sort de la limousine J'viens de rencontrer ta petite c"
data\whisper_transcriptions\Alaclair Ensemble - Moulin Ben Sec 61452.txt,kept,,86,0.7711,0.0378,0.0,0.7093,0.0814,3.907,unknown,Il est dur comme Tom Doan On reste heure à terre Des fois on est sur la curve C'est du l'opposite sexe pour lui faire la mer J'ai des fly moves Que les best approuvent Le king du shakedown C'est tous J'vais jamais perdre le groove D'autres j'blesse l
data\whisper_transcriptions\Alaclair Ensemble - SHUFFLE 55101.txt,dropped,too_short(<6_words),4,0.8,0.05,0.0,1.0,0.25,4.0,unknown,Welcome to the show.
data\whisper_transcriptions\Alaclair Ensemble - Swing Deo 55102.txt,dropped,boilerplate_or_non_lyrics,4,0.8261,0.0435,0.0,1.0,0.25,4.75,unknown,Welcome to the podcast.
data\whisper_transcriptions\Alaclair Ensemble - Womp 55100.txt,kept,,7,0.8293,0.0244,0.0,1.0,0.1429,5.0,unknown,This is Uhzoon's Written Ramp Outro Music
data\whisper_transcriptions\Alan Vega & Oneida - Rocket USA 8208.txt,kept,,12,0.8088,0.0294,0.0,0.75,0.1667,4.75,unknown,Oh that's all Oh Yeah Hawaii Colorado Hawaii Yeah It's usually dirty
data\whisper_transcriptions\Alas de Mosca - Piano de cola suspendido en el aire 122204.txt,dropped,too_short(<6_words),4,0.75,0.1,0.0,1.0,0.25,4.0,unknown,We'll be right back.
data\whisper_transcriptions\Albin Andersson - A Penny For Your Dreams 130948.txt,kept,,29,0.7879,0.0303,0.0,0.8966,0.1034,4.3793,unknown,"He says, I'm in love, I'm afraid She mostly spent time with her cats Living on coffee and cigarettes Deep in her notebooks her pen always moves We'd never seen grace"
data\whisper_transcriptions\Albin Andersson - All The Stupid Things You Say 130951.txt,kept,,64,0.7719,0.038,0.0,0.7812,0.0625,4.2031,unknown,"It doesn't turn to look back again Back on Lonely Planet doing push-ups during night You're so restless, nothing ever calms you down It's a long way till the morning and the ceiling's getting boring But it's okay, it's alright, but in a way, no it's "
data\whisper_transcriptions\Albin Andersson - Blind 130950.txt,kept,,36,0.7887,0.0258,0.0,0.7778,0.1111,4.3611,unknown,And the snowfall deep in May They'll just shake it off and there's nothing really more to say And I don't think that you're blind You just switched it off somehow And the cracks you couldn't see
data\whisper_transcriptions\Albin Andersson - Even If It's True 130955.txt,kept,,28,0.7744,0.0427,0.0,1.0,0.0357,4.3929,unknown,"Been seen on the fields again Crumble leaves fall from trees Revealing a sky full of memories Remind me, my dear, what was it we saw last December? I thought I'd..."
data\whisper_transcriptions\Albin Andersson - Mayfly 130945.txt,kept,,32,0.7702,0.0186,0.0,0.9688,0.0625,3.8125,unknown,"Shadow and regrets come strip me bare Do whatever please you most, I just don't care Did you know how far a leaf I can fly? My heart is born the same day it died"
data\whisper_transcriptions\Albin Andersson - The Fences 130953.txt,kept,,13,0.8,0.0286,0.0,0.8462,0.1538,4.3846,unknown,"Before we've amassed all them days and thrown them far, far away Music"
data\whisper_transcriptions\Albin Andersson - You Never Took Me For A Walk 130952.txt,kept,,35,0.803,0.0197,0.0,0.8286,0.0857,4.6,unknown,"Love, I never really liked our letters I just keep them to remember that we knew Cause love, there between the long black sentences The things we really meant are getting through Love, what have we done?"
data\whisper_transcriptions\Alec K. Redfearn & the Eyesores - Ohio 141.txt,kept,,37,0.7963,0.0093,0.0,0.9189,0.0541,4.5405,unknown,With a ruminating sound I reach for you and remember that You're at least a thousand miles from here With a big head of steel In old Milwaukee field I never cared for a highway Like she don't want me in western shape
data\whisper_transcriptions\Alec K. Redfearn & the Eyesores - Queen Of The Wires 140.txt,kept,,34,0.8101,0.0,0.0,0.7941,0.1471,4.2353,unknown,Tightrope of tightrope you held us so near But one day Tina slipped into the air Fell like a stone from the trees and the spires Tina been drained by the wires Shattered the wires
